t,path_0,path_1,path_2
0,0,0,0
0.00333333,0.00951015,0.0236525,-0.014111
0.00666667,0.0029286,0.0115413,-0.0512678
0.01,0.0257605,-0.0195411,-0.0443812
0.0133333,0.0405726,-0.0281138,-0.0303508
0.0166667,0.0443371,-0.00922291,-0.0292264
0.02,0.0318344,-0.0237838,-5.59769e-05
0.0233333,0.0218158,-0.0290011,0.0248508
0.0266667,-0.0151117,-0.0235927,0.0474038
0.03,-0.041374,0.000882758,0.0627876
0.0333333,-0.0441404,-0.0311801,0.0615471
0.0366667,-0.0509482,-0.00942098,0.0486925
0.04,-0.0538348,0.02754,0.0587998
0.0433333,-0.0641927,0.0447147,0.061705
0.0466667,-0.0684432,0.0415271,0.09231
0.05,-0.0737204,0.017276,0.0855923
0.0533333,-0.0862333,0.0211046,0.0883767
0.0566667,-0.104723,0.0404846,0.0530258
0.06,-0.108163,0.0491482,0.0316281
0.0633333,-0.112665,0.0339044,0.0681779
0.0666667,-0.113901,0.0447582,0.0771783
0.07,-0.118286,0.0616748,0.132333
0.0733333,-0.101763,0.0524077,0.13121
0.0766667,-0.0661094,0.012929,0.127449
0.08,-0.0660219,0.0140641,0.154151
0.0833333,-0.0449305,0.0112174,0.161224
0.0866667,-0.0732957,-0.0330162,0.167128
0.09,-0.0981227,-0.0508959,0.180822
0.0933333,-0.0920211,-0.0692897,0.216847
0.0966667,-0.0860359,-0.0607327,0.235943
0.1,-0.0659723,-0.0691499,0.266381
0.103333,-0.0810079,-0.0688689,0.285168
0.106667,-0.0908685,-0.0691698,0.294057
0.11,-0.106196,-0.129051,0.277001
0.113333,-0.101628,-0.169783,0.270325
0.116667,-0.10829,-0.1488,0.245465
0.12,-0.13491,-0.13004,0.254951
0.123333,-0.142188,-0.123886,0.250349
0.126667,-0.154844,-0.129501,0.245899
0.13,-0.139999,-0.103042,0.272858
0.133333,-0.141736,-0.0917052,0.292107
0.136667,-0.14628,-0.0796461,0.311605
0.14,-0.136566,-0.0602881,0.341091
0.143333,-0.114739,-0.0529751,0.349796
0.146667,-0.125024,-0.0482388,0.346232
0.15,-0.0810754,-0.0519894,0.341537
0.153333,-0.0559528,-0.0765185,0.337833
0.156667,-0.0183524,-0.0864926,0.331871
0.16,-0.000470325,-0.0749785,0.32528
0.163333,0.0103672,-0.0935585,0.341406
0.166667,0.0255254,-0.0979927,0.338615
0.17,0.0458108,-0.125815,0.327446
0.173333,0.0289437,-0.126925,0.30793
0.176667,0.0196623,-0.133224,0.327933
0.18,0.00461955,-0.131992,0.305653
0.183333,-0.00308545,-0.115167,0.31248
0.186667,-0.00580618,-0.142206,0.3004
0.19,-0.0204305,-0.117481,0.320514
0.193333,-0.0514213,-0.115691,0.334028
0.196667,-0.0488851,-0.130387,0.32275
0.2,-0.0345729,-0.108864,0.318162
0.203333,-0.0291454,-0.124467,0.269746
0.206667,-0.0156555,-0.14188,0.230419
0.21,-0.00757547,-0.154674,0.230761
0.213333,0.00705669,-0.187317,0.22966
0.216667,0.0323124,-0.231325,0.200427
0.22,0.0379847,-0.221944,0.198965
0.223333,0.0291133,-0.21169,0.183411
0.226667,0.0249094,-0.197632,0.194893
0.23,0.0462978,-0.183181,0.182913
0.233333,0.073729,-0.170563,0.162855
0.236667,0.094196,-0.154038,0.130119
0.24,0.0758655,-0.168181,0.120076
0.243333,0.093163,-0.21332,0.120798
0.246667,0.0641227,-0.235283,0.11684
0.25,0.0723285,-0.259039,0.11627
0.253333,0.0585339,-0.268199,0.132996
0.256667,0.0614454,-0.279864,0.138239
0.26,0.0515778,-0.263294,0.116094
0.263333,0.0444353,-0.255758,0.090646
0.266667,0.0184648,-0.254746,0.0637401
0.27,0.0276155,-0.257414,0.0205184
0.273333,0.0271879,-0.26386,-0.0185413
0.276667,0.0365093,-0.285281,-0.0151809
0.28,0.0696153,-0.278068,-0.0306645
0.283333,0.0611103,-0.295572,-0.0493477
0.286667,0.0663292,-0.31409,-0.0199859
0.29,0.0721105,-0.333757,-0.0237149
0.293333,0.0503161,-0.317501,-0.00785952
0.296667,0.0562252,-0.327302,0.00647212
0.3,0.0597488,-0.334313,-0.0190326
0.303333,0.0671557,-0.351241,0.00541905
0.306667,0.0818197,-0.36354,0.0139939
0.31,0.102073,-0.38793,0.0644375
0.313333,0.0838301,-0.389786,0.0516982
0.316667,0.0649406,-0.404117,0.0510667
0.32,0.0587054,-0.434711,0.0794808
0.323333,0.0322751,-0.469707,0.0753479
0.326667,0.0173707,-0.497836,0.0712688
0.33,0.0243268,-0.540153,0.0681977
0.333333,0.0180142,-0.563585,0.0698196
0.336667,0.000387824,-0.603359,0.0653933
0.34,-0.011165,-0.591633,0.0733634
0.343333,-0.00829803,-0.603774,0.0776019
0.346667,-0.0141454,-0.623923,0.10365
0.35,-0.034687,-0.664747,0.128942
0.353333,-0.0649387,-0.652584,0.133391
0.356667,-0.0970727,-0.638927,0.143533
